Titre du bulletin (ANSSI),Type de bulletin,Date de publication,Identifiant CVE,Score CVSS,Type CWE,Score EPSS,Lien du bulletin (ANSSI),Description,Editeur/Vendor,Produit,Versions affectees
Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),Alerte,"Fri, 16 Dec 2022 00:00:00 +0000",CVE-2022-40242,7.5,CWE-798,0.001370000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,MegaRAC Default Credentials Vulnerability,AMI,Non disponible,0
Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),Alerte,"Fri, 16 Dec 2022 00:00:00 +0000",CVE-2022-40242,7.5,CWE-798,0.001370000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,MegaRAC Default Credentials Vulnerability,AMI,Non disponible,0
Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),Alerte,"Fri, 16 Dec 2022 00:00:00 +0000",CVE-2022-40259,8.3,CWE-798,0.003020000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,MegaRAC Default Credentials Vulnerability,AMI,Non disponible,0
Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),Alerte,"Fri, 16 Dec 2022 00:00:00 +0000",CVE-2022-40259,8.3,CWE-798,0.003020000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,MegaRAC Default Credentials Vulnerability,AMI,Non disponible,0
Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),Alerte,"Fri, 16 Dec 2022 00:00:00 +0000",CVE-2022-2827,7.5,CWE-200,0.161080000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,AMI MegaRAC User Enumeration Vulnerability,AMI,Non disponible,0
Multiples vulnérabilités dans AMI MegaRAC (16 décembre 2022),Alerte,"Fri, 16 Dec 2022 00:00:00 +0000",CVE-2022-2827,7.5,CWE-200,0.161080000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-014/,AMI MegaRAC User Enumeration Vulnerability,AMI,Non disponible,0
Vulnérabilité dans les produits Fortinet (13 juin 2023),Alerte,"Tue, 13 Jun 2023 00:00:00 +0000",CVE-2023-27997,9.2,CWE-122,0.903050000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS version 7.2.4 and below, version 7.0.11 and below, version 6.4.12 and below, version 6.0.16 and below and FortiProxy version 7.2.3 and below, version 7.0.9 and below, version 2.0.12 and below, version 1.2 all versions, version 1.1 all versions SSL-VPN may allow a remote attacker to execute arbitrary code or commands via specifically crafted requests.",Fortinet,Non disponible,"7.0.10, 7.0.5, 6.4.12, 6.4.10, 6.4.8, 6.4.6, 6.4.2, 6.2.9, 6.2.6, 6.2.4, 6.0.12, 6.0.10"
Vulnérabilité dans les produits Fortinet (13 juin 2023),Alerte,"Tue, 13 Jun 2023 00:00:00 +0000",CVE-2023-27997,9.2,CWE-122,0.903050000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS version 7.2.4 and below, version 7.0.11 and below, version 6.4.12 and below, version 6.0.16 and below and FortiProxy version 7.2.3 and below, version 7.0.9 and below, version 2.0.12 and below, version 1.2 all versions, version 1.1 all versions SSL-VPN may allow a remote attacker to execute arbitrary code or commands via specifically crafted requests.",Fortinet,Non disponible,"7.2.0, 7.0.0, 2.0.0, 1.2.0, 1.1.0"
Vulnérabilité dans les produits Fortinet (13 juin 2023),Alerte,"Tue, 13 Jun 2023 00:00:00 +0000",CVE-2023-27997,9.2,CWE-122,0.903050000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-004/,"A heap-based buffer overflow vulnerability [CWE-122] in FortiOS version 7.2.4 and below, version 7.0.11 and below, version 6.4.12 and below, version 6.0.16 and below and FortiProxy version 7.2.3 and below, version 7.0.9 and below, version 2.0.12 and below, version 1.2 all versions, version 1.1 all versions SSL-VPN may allow a remote attacker to execute arbitrary code or commands via specifically crafted requests.",Fortinet,Non disponible,"7.2.0, 7.0.0, 6.4.0, 6.2.0, 6.0.0"
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.17763.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.17763.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.17763.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.20348.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.19043.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.22621.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.19045.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.10240.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.14393.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.14393.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,10.0.14393.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,6.0.6003.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,6.0.6003.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,6.0.6003.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,6.1.7601.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,6.1.7601.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,6.2.9200.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,6.2.9200.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,6.3.9600.0
Vulnérabilité dans les produits Microsoft (12 juillet 2023),Alerte,"Wed, 12 Jul 2023 00:00:00 +0000",CVE-2023-36884,7.5,CWE-362,0.932450000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-006/,Windows Search Remote Code Execution Vulnerability,Microsoft,Non disponible,6.3.9600.0
[MàJ] Vulnérabilité dans Zimbra Collaboration Suite (17 juillet 2023),Alerte,"Mon, 17 Jul 2023 00:00:00 +0000",CVE-2023-37580,Non disponible,Non disponible,0.939180000,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-007/,Zimbra Collaboration (ZCS) 8 before 8.8.15 Patch 41 allows XSS in the Zimbra Classic Web Client.,n/a,Non disponible,n/a
